SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
NF1,0.3467494955177691,0.04354385873877265,0.05504253946358332,0.1389562642163486,0.02720665138855815,1.611456604999336e-05,0.2192180605228113,0.5499999999999999,0.0,0.0
ABCC6,0.22439127414016105,0.07058823529411765,0.08740056218577312,0.1557942052536151,0.016307407335141612,0.0019469707830988886,0.0,0.5,0.0,0.45
AKT2,0.40563021753760137,0.052861317388966884,0.07837532536161272,0.021072239668901302,0.019325122336132525,1.14622139836965e-05,0.2990319865319865,0.6,0.0,0.525
NSDHL,0.2522769705462661,0.0,0.19987810950790053,0.05463501602564103,0.003063652438227556,0.0002857380026322158,0.0,0.5,0.0,0.35
RNASET2,0.18713710102002928,0.0,0.020482659753822702,0.16154898040772947,0.012770501868502595,0.0014352492374130866,0.0,0.0,0.0,0.5666666666666665
SLC24A4,0.1847663406402432,0.019230769230769232,0.10939753946314408,0.0812523520653557,0.0030376230518718733,0.0007855136367590095,0.0,0.0,0.0,0.375
PLOD2,0.2356894273881667,0.03254687339361093,0.017093950793650798,0.1651992814881461,0.022685232931235328,0.004839613275914526,0.0,0.0,0.0,0.375
AFF2,0.1510274968971058,0.0,0.0,0.13666666666666666,0.01762143608683848,0.0013427430806896862,0.0,0.0,0.0,0.0
ALDH4A1,0.18500329293483025,0.0,0.0,0.17142857142857146,0.011221304523744395,0.005459576360432562,0.0,0.30000000000000004,0.0,0.0
AARS1,0.27590880749143715,0.023723613756613755,0.07506419976302194,0.18154605908230656,0.0073986641009362595,0.0006846031494394919,0.0,0.7000000000000002,0.0,0.0
RFXANK,0.3292088881135297,0.0,0.037531481481481485,0.29716614737278885,0.02076557905871504,0.0,0.0,0.0,0.0,0.0
COX6B1,0.2303593602286955,0.10078473841050882,0.05150557638888889,0.07517892691057476,0.00782027777777778,0.003031291095768869,0.0,0.7,0.0,0.7
SAR1B,0.1783334202619906,0.0,0.111770876771269,0.06400769261298356,0.011536581067075708,0.0015271256917129506,0.0,0.0,0.0,0.3999999999999999
POMGNT2,0.5949374320483326,0.0,0.08961708721896368,0.5158500758975391,0.013121953168304362,0.0,0.0,0.0,0.0,0.3499999999999999
DARS2,0.6471464471635299,0.0,0.0,0.6435168087511197,0.005472168304734289,0.0002001577392019549,0.0,0.0,0.0,0.0
CACNA1E,0.21902737825302607,0.023043846068081828,0.06183713221308507,0.11412295968434785,0.011255779769871568,0.002497920083007077,0.0,0.65,0.0,0.3666666666666667
DNAAF1,0.11866506754295535,0.0,0.0,0.09948811854701488,0.013458755350056693,0.006703813579273801,0.0,0.0,0.0,0.375
MSR1,0.2211652403680494,0.08032409847879086,0.0,0.14330906804156987,0.016681877175177225,0.008987588990193598,0.0,0.0,0.0,0.5000000000000001
ADAT3,0.18697120370370374,0.0,0.0,0.16666666666666666,0.02030453703703704,0.0,0.0,0.0,0.0,0.0
CHRM1,0.5008511502421039,0.047405399924248116,0.04948538374926727,0.009512854009112226,0.0059883204067992715,0.004260506745355639,0.0,0.6625,0.0,0.4666666666666666
PTPN12,0.20798313346672376,0.10606279175777596,0.010210329670329673,0.036958090415876166,0.02283678398467057,0.0016058585643924346,0.06593406593406594,0.4749999999999999,0.0,0.09999999999999998
SNX27,0.19164284435358675,0.0,0.04199051075191783,0.13671503011738098,0.019477594644434423,0.0015013413909684009,0.0,0.0,0.0,0.3999999999999999
TRIM22,0.06550140533711171,0.0031339285714285714,0.0,0.03493815235221985,0.025303961391623195,0.008319085991343931,0.0,0.0,0.0,0.0
KCNH5,0.4316115865928001,0.016656341218404962,0.005723174603174603,0.1086607752811341,0.006207319437740481,0.002997942723380504,0.0,0.6499999999999999,0.0,0.5
KCTD19,0.2068837724701111,0.0,0.1076076346128684,0.10367225678042136,0.0002536585365853659,0.0009703444914555162,0.0,0.0,0.0,0.0
MPZL2,0.09735947381873801,0.0,0.019559057755775586,0.06486386834353831,0.010515700153718478,0.004859118102567122,0.0,0.0,0.0,0.3500000000000001
PDHA2,0.5140672980317804,0.0,0.0,0.5099142424762249,0.010573055555555556,0.0,0.0,0.0,0.0,0.0
RPL14,0.11642099667204507,0.03571428571428571,0.0,0.0698568914109943,0.00993371879107802,0.0030833541347098288,0.0,0.6749999999999999,0.0,0.8999999999999998
CCK,0.057816397806862325,0.013462414027438646,0.0,0.008278277823477006,0.03648267874069792,0.0013072754441774599,0.0,0.0,0.0,0.4666666666666667
GRB10,0.19344533576735165,0.0367340935464978,0.03701886689180983,0.11928304219914905,0.006125256547612095,0.0016535328122287824,0.0,0.4,0.0,0.6500000000000004
TMBIM4,0.09974969373638644,0.0,0.0,0.08656803169458431,0.012249753311864288,0.0009777420632712077,0.0,0.0,0.0,0.35000000000000003
CXCR1,0.12368160723499455,0.034267063433400864,0.020641639296296296,0.03323652273417633,0.02761658120330092,0.002233131167786263,0.0,0.6333333333333332,0.0,0.4666666666666667
TMEM245,0.061846661283644765,0.0,0.0,0.06048136098368385,0.0008111111111111112,0.0006842909523305285,0.0,0.0,0.0,0.225
CLSTN2,0.04400866766596993,0.0,0.01702727980992137,0.013603187358518957,0.012627601785342168,0.0015983378674419705,0.0,0.0,0.0,0.375
USP10,0.525890233942651,0.1880223724145031,0.0,0.33676458874675963,0.0,0.0011032727813883487,0.0,0.0,0.0,0.0
ACOT12,0.1689699875008098,0.0,0.0,0.1479566947077399,0.011514436319764846,0.010943856473305076,0.0,0.55,0.0,0.0
CLECL1,0.05419543996675137,0.0,0.0,0.052997907736200216,0.00010721649484536084,0.0010903157357057887,0.0,0.0,0.0,0.4500000000000001
MPPE1,0.2507149192492116,0.0,0.0,0.2448677718639373,0.005200000000000001,0.0006471473852741803,0.0,0.0,0.0,0.35
SP100,0.17318294397777545,0.14022332033286167,0.0,0.018117583151591028,0.017245910734830956,0.004046933290517614,0.0,0.7000000000000002,0.0,0.0
UBE2W,0.18908407597289964,0.013157894736842105,0.1368281503468548,0.032747557392202274,0.003615789473684211,0.0030978419180531,0.0,0.0,0.0,0.0
SESN2,0.11472496405420984,0.052837657403390886,0.035359072810804894,0.002281310505100659,0.030077191594875888,0.0006060979713314233,0.0,0.7000000000000002,0.0,0.0
ZGPAT,0.09049721591777052,0.0,0.01277323154446964,0.0755107112278425,0.006018051451356702,0.0,0.0,0.0,0.0,0.6500000000000001
HERC4,0.21208650130837506,0.04901960784313725,0.04639736231770486,0.1055034283537291,0.019622650468772,0.0006004737720546867,0.0,0.0,0.0,0.0
PFAS,0.13496032713371872,0.017968558219178084,0.06382901686152871,0.038878897947785165,0.015032646398790516,0.0003869639986463042,0.0,0.0,0.0,0.0
KRT7,0.06471197392840054,0.021569650440540256,0.015324115784829347,0.0,0.029219884528231863,0.0018485796776813038,0.0,0.7000000000000002,0.0,0.0
CFAP97D2,0.35844906673625754,0.0,0.0,0.3572877009399235,0.0,0.0011613657963339835,0.0,0.0,0.0,0.0
LGALS8,0.10252740836531543,0.0,0.04575418034298713,0.027249470893894474,0.030507621086015863,0.00033608607708628867,0.0,0.675,0.0,0.1
FGF11,0.14563622557595896,0.0400185846268581,0.07424568055555555,0.02455358559834874,0.00807102238033031,0.001813,0.0,0.0,0.0,0.3
KIF24,0.11287419783975645,0.0,0.0,0.10458688052105053,0.007246031746031747,0.0010412855726741603,0.0,0.0,0.0,0.0
CES5A,0.1391038249279164,0.0,0.0,0.1199141235019152,0.014563572649572653,0.004626128776428564,0.0,0.29999999999999993,0.0,0.375
IL17B,0.1784772150625761,0.0,0.13727314538535634,0.032172695640627864,0.012146844397403656,0.00012551593916917234,0.0,0.0,0.0,0.375
RAB1A,0.12420579451382315,0.019365693765486053,0.0,0.08819176753827243,0.02025268797839052,0.0002831281694899978,0.0,0.7000000000000002,0.0,0.0
TRIM5,0.08026741357459312,0.0,0.014354970370370371,0.04598884542721887,0.01985034813694129,0.002412281796656202,0.0,0.0,0.0,0.0
KRTAP19-2,0.5152973501048624,0.5152973501048624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXPH3,0.05835473867972036,0.0,0.0,0.041692480755349,0.01000339417989418,0.006658863744477193,0.0,0.0,0.0,0.4499999999999999
CENPP,0.1248823980329823,0.0,0.0,0.11711815764610135,0.006268436507936509,0.0014958038789444307,0.0,0.0,0.0,0.0
DALRD3,0.1544684646101071,0.0,0.09565610207715726,0.061856217787844975,0.0015339285714285715,0.00010192169663822908,0.0,0.0,0.0,0.0
CDCA5,0.12095023523607105,0.032043122091226665,0.0681855819287792,0.008450498054553937,0.010526655996794308,0.008263345216230155,0.0,0.0,0.0,0.0
