SYMBOL,onco_driven_score
NOL10,1
CELSR1,1
RHOH,1
DGKD,1
ITPRIP,1
CCL5,1
ELMOD3,1
FHL1,1
CAT,1
FERMT3,1
BIK,1
POU3F4,1
CASP1,1
PAPOLA,1
TANK,1
CHI3L1,1
AP4S1,1
RAB40C,1
RDX,1
TM4SF1,1
IBSP,1
ACYP2,1
RETREG1,1
MAST1,1
SLC19A2,1
HOXC11,1
ECHDC2,1
MLX,1
KRT7,1
UTP20,1
ADGB,1
ELF4,1
BEX1,1
CES1P1,1
CEP135,1
TMPRSS11D,1
GET3,1
XYLB,1
ALLC,1
PTBP3,1
MTARC1,1
MGAT1,1
PDE1C,1
OAS2,1
CYP2C9,1
SLC3A2,1
LYRM9,1
ZNF135,1
EPM2A,1
ZNF124,1
POLE,1
ELANE,1
STAG3L1,1
GCSAM,1
PBXIP1,1
DIO1,1
SOWAHC,1
CMKLR2,1
GMEB1,1
KIF25,1
PNOC,1
RASD2,1
FADS1,1
LHB,1
ITGBL1,1
TFAM,1
MYO1G,1
RSRC1,1
VPS41,1
STBD1,1
TRIM36,1
MEG3,1
DDX27,1
DENND1B,1
NAALADL1,1
SAR1B,1
ATP6V1C2,1
PROSER1,1
RPL3L,1
ABHD2,1
ENPP2,1
PIP4K2A,1
BNIPL,1
TMPRSS2,1
PIP,1
NGF,1
CPB2,1
SNPH,1
RAB6B,1
MOXD1,1
GRIA1,1
SLC4A3,1
ABLIM2,1
EIF2AK3,1
SLC35F6,1
IDH1,1
GRIP1,1
SOD2,1
SNRPN,1
BCS1L,1
OBSCN,1
EIF4G1,1
CISH,1
MYT1L,1
ALDH3A1,1
PPM1M,1
GREB1L,1
LAMA3,1
DPY19L4,1
NGLY1,1
SCN7A,1
ZNF789,1
ROCK1,1
CPN1,1
HSPA8,1
NDC80,1
LAMP1,1
MLLT3,1
NAB1,1
RTN2,1
ANGPTL2,1
CALML3,1
ALX1,1
UNC119B,1
SLC46A2,1
ADIRF,1
HCRTR1,1
PTCH2,1
NSDHL,1
MYH14,1
ADH1B,1
ZNF512B,1
MIR17HG,1
PCDHGB6,1
TGFB3,1
ELL3,1
PSORS1C2,1
TBX3,1
NDRG2,1
MCOLN1,1
TMEM168,1
ZMYM2,1
PDCD7,1
CPVL,1
ASGR1,1
CD1E,1
TRIB3,1
DGAT1,1
TTBK2,1
PPP1R14A,1
P3H4,1
ATP8B3,1
PLEKHO2,1
GFRA3,1
TCF4,1
CPXM1,1
XAF1,1
SIRT4,1
NELFE,1
PDLIM5,1
AFF4,1
ELOVL7,1
GUSB,1
SERPINB1,1
ARTN,1
DCHS1,1
NCR1,1
ANKRD44,1
LINC02487,1
A4GNT,1
RSPH1,1
CD1A,1
RASGRF2,1
CLMN,1
IRAG1,1
SPECC1,1
ADGRF5,1
ASF1B,1
COMP,1
ALOX5,1
UBE2J1,1
RANBP2,1
TUBG1,1
B3GALNT2,1
EVI5,1
SIK1,1
SUSD5,1
PIK3R4,1
KLF2,1
KLK2,1
ADCYAP1,1
CBFB,1
TAF4B,1
CBLN1,1
DLGAP5,1
TTC37,1
CMTM8,1
PIP5K1C,1
PEX19,1
PIGT,1
APLP1,1
ADAMTS8,1
DOCK3,1
CDK1,1
CCDC57,1
BSCL2,1
HOXB3,1
PEX3,1
MIGA2,1
NR5A1,1
DOLPP1,1
NTN4,1
PTPRK,1
NOTCH2,1
LCK,1
EFNA1,1
CLPTM1,1
PCOLCE2,1
RWDD2B,1
MGLL,1
PPARA,1
CYP39A1,1
MANBA,1
APOL3,1
CYP2C18,1
RAMP3,1
AMD1,1
H2BC4,1
ARHGAP15,1
CTBP2,1
NEFH,1
CYP4F3,1
COL14A1,1
POMP,1
MAPKBP1,1
FAM13A,1
EDIL3,1
CPEB1,1
POP1,1
PF4,1
LGALS3,1
DHRS3,1
PRKCE,1
PLGLA,1
CBR3,1
STX11,1
NME3,1
OGN,1
ZNF668,1
TUSC2,1
COP1,1
F8,1
MRPS33,1
SAP30BP,1
NPBWR2,1
TFPI,1
MARCHF7,1
SCAMP4,1
FBLN5,1
CHAC2,1
SNAI1,1
FAP,1
CYP4B1,1
ZNRF3,1
PGF,1
C1S,1
GDAP1L1,1
RAB3IL1,1
IL1RL1,1
TMEM143,1
FAM182A,1
PLXNA1,1
PLEKHH2,1
CDH1,1
NMU,1
MFAP3,1
ANXA4,1
GALNT7,1
SDC2,1
LTB4R2,1
PDE1B,1
CREB3L2,1
PIDD1,1
GLRA3,1
INSL5,1
TSPO,1
OR10H3,1
NOX1,1
CPLANE2,1
MFAP4,1
ZNF132,1
CHMP1B,1
MET,1
MSX2,1
FRMD6,1
TNNT3,1
GTF2A1L,1
EVC,1
NUP37,1
MALT1,1
SLC8A2,1
FCAR,1
LINC00639,1
NR2C2,1
ABCD1,1
ZNF574,1
VAMP2,1
EPS8L3,1
RRAS,1
WFDC1,1
KCNB1,1
ABHD14A,1
CCNK,1
TRIM2,1
MARK1,1
TSGA10,1
RLN2,1
TEX13A,1
RFWD3,1
PPP3CA,1
ZC3H15,1
SNTA1,1
AARD,1
KLF7,1
PEPD,1
ATAD1,1
KYAT3,1
FAHD2A,1
YWHAH-AS1,1
MEOX2,1
PKD1P1,1
STK35,1
ARL17A,1
ATPSCKMT,1
KCNA3,1
ACP5,1
BPIFB5P,1
THOC6,1
LRP2BP,1
VAV3,1
CATSPERB,1
PVT1,1
NRIP1,1
BNIP2,1
OPRD1,1
ABHD14B,1
DCAF4,1
RASGRF1,1
PHAX,1
RHOBTB1,1
SP5,1
LINC01558,1
RECK,1
NRIP2,1
GJB3,1
HS6ST1,1
SORL1,1
NTS,1
HHAT,1
SALL2,1
PSMD13,1
LHCGR,1
IQCC,1
AGAP1,1
IL3RA,1
HRH1,1
CHST10,1
ZNF286A,1
HK2,1
SLAMF9,1
TEC,1
POP5,1
SYT15,1
CAAP1,1
PER1,1
TCF12,1
HPX,1
PLK5,1
USP20,1
ZKSCAN7,1
PIK3R3,1
CENPH,1
EIF4E,1
TNIK,1
BCOR,1
NEDD9,1
BTLA,1
HEBP1,1
CAV3,1
RGS18,1
BCL2L2,1
PSRC1,1
AQP8,1
MYO1A,1
MYC,1
BCL6,1
LIX1,1
ZSCAN31,1
EP400,1
WNT2,1
PDHA1,1
CAB39,1
ALDH1A2,1
MEIS2,1
DOK7,1
PDK1,1
GPR84,1
GJA1,1
ELF3,1
PLCG2,1
SORT1,1
ANXA9,1
PCDH7,1
IL18RAP,1
CDCA7L,1
GYS1,1
P2RX2,1
RMI1,1
EDN3,1
EMC2,1
MYLIP,1
LINC01278,1
A1CF,1
SLC5A4,1
KRR1,1
ZNF35,1
SLC24A2,1
TIMP2,1
IGFBP2,1
HTR2B,1
AMT,1
NPEPPS,1
CORT,1
ABCA6,1
TMCC2,1
SLC5A3,1
GABRB3,1
MED6,1
ACOT1,1
MIPOL1,1
PRIM1,1
TLR2,1
PADI3,1
SSX1,1
FBXL19,1
BRD8,1
ZNF266,1
SLC6A16,1
BAG5,1
KRT3,1
ARHGEF40,1
TRMT9B,1
BST2,1
ATP10D,1
GPR176,1
PHLDB1,1
PYCR3,1
LRP3,1
CSDC2,1
TUBA4A,1
CHKB,1
B4GALT5,1
BMP5,1
RIN2,1
SNCA,1
BMI1,1
CDC20,1
DTL,1
TTK,1
LMBR1,1
AIRE,1
ITLN1,1
OVGP1,1
KIF5C,1
