SYMBOL,tissue_specificity_score
7SK,0.5537825658437157
A1BG,0.6859979702708073
A1BG-AS1,0.04841291657661717
A1CF,0.2420625605961425
A2M,0.7318474453272004
A2M-AS1,0.14435346461964338
A2ML1,0.575363766786939
A2ML1-AS1,0.7805338129649839
A2MP1,0.17226354905404717
A3GALT2,0.4017190543323992
A4GALT,0.6238441780599646
A4GNT,0.2536657167994768
AA06,0.5525852465399321
AAAS,0.8766534949758538
AACS,0.8546432208415156
AACSP1,0.040417749565025196
AADAC,0.24395541333248683
AADACL2,0.16188948516634916
AADACL2-AS1,0.019530676465690067
AADACL3,0.05223611689953256
AADACL4,0.1309797003526031
AADACP1,0.0
AADAT,0.6411098601281326
AAGAB,0.8892464158308087
AAK1,0.8720283108999595
AAMDC,0.8345107167287834
AAMP,0.889708736278904
AANAT,0.42472478297456306
AAR2,0.8824738162335528
AARD,0.6318772564810576
AARS1,0.864251987985525
AARS1P1,0.02137875126267197
AARS2,0.8687743513917298
AARSD1,0.4596616219246512
AARSD1P1,0.019613155051442344
AASDH,0.8681820551139898
AASDHPPT,0.8807536826321547
AASS,0.7975322620005965
AATBC,0.5877059705929925
AATF,0.1144769099551527
AATK,0.6316854665130895
ABALON,0.07050403161122965
ABAT,0.8102278235198455
ABCA1,0.8272286449906248
ABCA10,0.7674230446609083
ABCA12,0.4001372600398626
ABCA13,0.6387469939346927
ABCA17P,0.28945203059077174
ABCA2,0.7927582010277111
ABCA3,0.7287165503550204
ABCA4,0.5374231892227429
ABCA5,0.8571827003552426
ABCA6,0.7301166600694144
ABCA7,0.8343788948597965
ABCA8,0.6962147461968169
ABCA9,0.7435439202750248
ABCA9-AS1,0.6518861004497858
ABCB1,0.7776291315733157
ABCB10,0.8677399879123823
ABCB10P1,0.7549760359084112
ABCB11,0.3113316472812341
ABCB4,0.6400548974352148
ABCB5,0.6211802084096227
ABCB6,0.7450992957963032
ABCB7,0.8702040106006408
ABCB8,0.8433920516947129
ABCB9,0.8101933785260651
ABCC1,0.8726261998164869
ABCC10,0.8786437862549855
ABCC11,0.5756921029719461
ABCC12,0.14797793550524552
ABCC13,0.049036183150191204
ABCC2,0.7519774627121467
ABCC3,0.7039226085204371
ABCC4,0.8230302153447963
ABCC5,0.8712138494795048
ABCC5-AS1,0.0438728822731127
ABCC6,0.7158088310940811
ABCC6P1,0.039649419884660864
ABCC6P2,0.1541808060265637
ABCC8,0.47057362444770445
ABCC9,0.8261695313117349
ABCD1,0.8050492759494229
ABCD2,0.642377350503284
ABCD3,0.8727718695546653
ABCD4,0.8894434134750325
ABCE1,0.8732691066978107
ABCF1,0.8960920637805586
ABCF2,0.8699759052714356
ABCF3,0.8846557778336457
ABCG1,0.8390833581314753
ABCG2,0.6979345537862711
ABCG4,0.4528744091376753
ABCG5,0.36546804522730825
ABCG8,0.19329938123879442
ABHD1,0.7346662158596176
ABHD10,0.873635624577591
ABHD11,0.8225496667312076
